,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
121,0,0,2.9,25,1,40,1449,200.0,8783
122,0,0,3.700448817952717,0,1,39,2494,400.0,8783
123,0,0,3.700448817952717,0,1,78,428,350.0,8783
124,0,0,3.3,8,1,39,2381,100.0,8783
125,0,0,3.700448817952717,0,1,78,2296,150.0,8783
126,0,0,3.700448817952717,0,1,78,2381,150.0,8783
127,0,0,3.700448817952717,0,1,14,359,200.0,8783
128,0,0,3.700448817952717,0,1,17,350,150.0,8783
129,0,0,3.700448817952717,0,1,92,2381,400.0,8783
130,0,0,3.700448817952717,0,1,78,2410,150.0,8783
131,0,0,3.700448817952717,0,1,78,54,250.0,8783
132,0,0,3.700448817952717,0,1,78,388,250.0,8783
133,0,0,3.700448817952717,0,1,78,2392,150.0,8783
134,0,0,3.700448817952717,0,1,38,1153,200.0,8783
135,0,0,3.700448817952717,0,1,80,1407,350.0,8783
136,0,0,3.700448817952717,0,1,78,2392,300.0,8783
137,1,0,4.0,771,1,27,2474,450.0,7878
138,0,0,3.0,98,1,8,1834,800.0,8783
139,1,0,3.9,47,4,78,2381,200.0,4694
140,1,1,4.1,175,32,27,2476,500.0,4657
141,1,0,3.8,58,1,78,2425,300.0,6892
142,1,0,3.8,540,4,27,2053,650.0,8783
143,1,0,3.8,124,49,78,908,400.0,8783
144,1,0,4.1,340,1,92,2102,500.0,8783
145,1,0,3.8,505,1,78,535,450.0,8783
146,1,0,4.1,438,32,40,1180,500.0,8783
147,1,0,3.7,264,57,27,1860,750.0,8783
148,1,0,3.9,169,49,14,365,150.0,8783
149,1,0,3.0,67,49,78,1834,250.0,8783
150,1,0,3.7,97,32,78,2091,350.0,8783
151,1,0,3.3,12,4,92,388,300.0,8783
152,1,0,3.3,12,1,78,388,300.0,5173
153,1,0,3.6,195,32,27,934,800.0,8783
154,1,0,3.3,13,4,47,1185,300.0,8783
155,1,0,4.6,228,32,19,588,400.0,8783
156,1,0,4.1,70,4,78,2410,150.0,3013
157,1,1,4.1,364,32,27,2610,1200.0,8783
158,1,0,3.7,107,4,14,354,150.0,8783
159,1,0,3.2,167,49,78,2483,300.0,7267
160,1,0,4.0,115,1,88,1699,400.0,8783
161,1,0,3.7,27,1,92,1510,400.0,8783
162,1,0,3.5,57,1,78,388,200.0,8783
163,1,0,3.8,120,1,78,2024,250.0,8783
164,1,0,3.8,15,4,0,254,400.0,8783
165,1,0,4.2,64,4,78,2315,500.0,8783
166,1,0,3.6,66,1,78,2381,150.0,8783
167,1,0,3.0,290,1,78,1863,450.0,8783
168,1,0,4.1,233,4,78,2537,200.0,8783
169,1,0,3.8,115,49,78,1316,250.0,8783
170,1,0,3.1,119,1,27,391,700.0,8783
171,1,1,3.9,291,32,19,600,650.0,4787
172,1,0,4.5,155,32,14,375,300.0,8783
173,1,0,4.1,305,49,27,1467,700.0,8783
174,1,0,3.6,46,1,78,1288,500.0,8783
175,1,0,3.5,45,49,78,312,350.0,8783
176,1,0,3.9,38,1,40,1442,150.0,8783
177,1,0,3.9,441,1,78,2477,400.0,8783
178,1,0,3.9,25,4,78,2381,100.0,5485
179,1,0,4.3,630,32,78,2217,200.0,8783
180,1,0,3.8,25,49,78,2381,150.0,1247
181,1,0,3.9,160,49,78,119,300.0,8783
